+----------------+-----------+
|      Word      | Frequency |
|     centre     |     1     |
|     heated     |     1     |
|     debate     |     1     |
|   reshaping    |     1     |
|     lives      |     1     |
|    blizzard    |     1     |
|    weekend     |     1     |
|    injured     |     1     |
|     hotel      |     1     |
|     poipet     |     1     |
|      near      |     1     |
|     border     |     1     |
|    thailand    |     1     |
|     thrash     |     1     |
|    innings     |     1     |
|      runs      |     1     |
|     second     |     1     |
|      test      |     1     |
|      game      |     1     |
|     spare      |     1     |
|    cricket     |     1     |
|      cody      |     1     |
|     capped     |     1     |
|    meteoric    |     1     |
|     months     |     1     |
|    joining     |     1     |
|   liverpool    |     1     |
|     ahead      |     1     |
|    january     |     1     |
|    transfer    |     1     |
|     window     |     1     |
|     speaks     |     1     |
|    someone     |     1     |
|     helped     |     1     |
|    blossom     |     1     |
|    journey     |     1     |
|   manchester   |     1     |
|    striker     |     1     |
|     erling     |     1     |
|  frustration   |     1     |
|    missing     |     1     |
|      spot      |     1     |
|     norway     |     1     |
|   motivation   |     1     |
|     score      |     1     |
|      even      |     1     |
|     goals      |     1     |
|      best      |     1     |
|   scientists   |     1     |
|  discovering   |     1     |
|      work      |     1     |
|     prime      |     1     |
|    breeding    |     1     |
|     ground     |     1     |
| relationships  |     1     |
|      hook      |     1     |
|      ups       |     1     |
|   incredible   |     1     |
|   operation    |     1     |
|   mincemeat    |     1     |
|    inspired    |     1     |
|      film      |     1     |
|     stage      |     1     |
|    musical     |     1     |
|     london     |     1     |
|      edit      |     1     |
|      thu       |     1     |
|      fri       |     1     |
|      sat       |     1     |
|      sun       |     1     |
|     visit      |     1     |
|    amazing     |     1     |
|     videos     |     1     |
|     dutch      |     1     |
|     sorry      |     1     |
|      old       |     1     |
|  skyscrapers   |     1     |
|     still      |     1     |
|    puzzling    |     1     |
| archaeologists |     1     |
|   identical    |     1     |
|     twins      |     1     |
|     reveal     |     1     |
|     truth      |     1     |
|     nature     |     1     |
|     editor     |     1     |
|     picks      |     1     |
|     inside     |     1     |
|     story      |     1     |
| revolutionised |     1     |
|     cinema     |     1     |
|   experience   |     1     |
|     sleep      |     1     |
|    training    |     1     |
|    largely     |     1     |
|  unregulated   |     1     |
|    science     |     1     |
|      says      |     1     |
|     fairy      |     1     |
|      tale      |     1     |
|    prevail     |     1     |
|     stigma     |     1     |
|   singletons   |     1     |
|      find      |     1     |
|     person     |     1     |
|      soon      |     1     |
|    endures     |     1     |
|   selection    |     1     |
|     taken      |     1     |
|     agency     |     1     |
|    toughest    |     1     |
|  restrictions  |     1     |
|    opening     |     1     |
|    industry    |     1     |
|    experts     |     1     |
|     trying     |     1     |
|    audience    |     1     |
|      rush      |     1     |
|      book      |     1     |
|     lifted     |     1     |
|     domino     |     1     |
|     pizza      |     1     |
|   considers    |     1     |
|    selling     |     1     |
|     apple      |     1     |
|     tesla      |     1     |
|     shares     |     1     |
|     tumble     |     1     |
|     supply     |     1     |
|     issues     |     1     |
|     korea      |     1     |
|     lifts      |     1     |
|      ban       |     1     |
|     import     |     1     |
|     adult      |     1     |
|      sex       |     1     |
|     dolls      |     1     |
|     planet     |     1     |
|   solutions    |     1     |
|     answer     |     1     |
|     flower     |     1     |
|     waste      |     1     |
|    defence     |     1     |
|      real      |     1     |
|     trees      |     1     |
|     would      |     1     |
|     green      |     1     |
|      look      |     1     |
|      like      |     1     |
|      usa       |     1     |
| advertisement  |     1     |
|    featured    |     1     |
|     video      |     1     |
|      ask       |     1     |
|      sum       |     1     |
|      see       |     1     |
|  dictionaries  |     1     |
|    choices     |     1     |
|  recommended   |     1     |
|    festival    |     1     |
|   confidence   |     1     |
|    service     |     1     |
|      air       |     1     |
|     chain      |     1     |
